"","ID","temperature","pH","elevation","landuse"
"1",1,19.6969696969697,5.98079274947673,30.3030303030303,"1"
"2",2,19.6969696969697,5.95835496055685,101.010101010101,"1"
"3",3,19.6969696969697,5.97538215649481,161.616161616162,"1"
"4",4,19.6969696969697,5.97429527006325,232.323232323232,"1"
"5",5,19.6969696969697,6.0148038242008,303.030303030303,"1"
"6",6,19.6969696969697,5.99829072523609,363.636363636364,"1"
"7",7,19.6969696969697,5.99178748292101,434.343434343434,"1"
"8",8,19.6969696969697,5.95903715253079,505.050505050505,"1"
"9",9,19.6969696969697,6.02313714456067,565.656565656566,"1"
"10",10,19.6969696969697,6.04746611219305,636.363636363636,"1"
"11",11,19.6969696969697,6.08695918378629,707.070707070707,"1"
"12",12,19.6969696969697,6.08399571867368,767.676767676768,"1"
"13",13,19.6969696969697,6.0340928116184,838.383838383838,"1"
"14",14,19.6969696969697,6.0261372844488,909.090909090909,"1"
"15",15,19.6969696969697,5.98525043042026,969.69696969697,"1"
"16",16,19.0909090909091,5.97831608785439,30.3030303030303,"1"
"17",17,19.0909090909091,5.93796709478282,101.010101010101,"1"
"18",18,19.0909090909091,6.01251197353115,161.616161616162,"1"
"19",19,19.0909090909091,6.01799878270878,232.323232323232,"1"
"20",20,19.0909090909091,6.05340799761307,303.030303030303,"1"
"21",21,19.0909090909091,5.99377342022516,363.636363636364,"1"
"22",22,19.0909090909091,6.03886441120249,434.343434343434,"1"
"23",23,19.0909090909091,6.00289531104909,505.050505050505,"1"
"24",24,19.0909090909091,6.05515678228426,565.656565656566,"1"
"25",25,19.0909090909091,6.03388941211123,636.363636363636,"1"
"26",26,19.0909090909091,6.05859474698187,707.070707070707,"1"
"27",27,19.0909090909091,6.04597001047615,767.676767676768,"1"
"28",28,19.0909090909091,6.02117376965671,838.383838383838,"1"
"29",29,19.0909090909091,6.01992008211028,909.090909090909,"1"
"30",30,19.0909090909091,6.03591903747649,969.69696969697,"1"
"31",31,18.3838383838384,5.97372157899388,30.3030303030303,"1"
"32",32,18.3838383838384,5.96731243606302,101.010101010101,"1"
"33",33,18.3838383838384,6.07176875411332,161.616161616162,"1"
"34",34,18.3838383838384,6.05987986358191,232.323232323232,"1"
"35",35,18.3838383838384,6.05443556930304,303.030303030303,"1"
"36",36,18.3838383838384,6.00567339213307,363.636363636364,"1"
"37",37,18.3838383838384,6.00950877046394,434.343434343434,"1"
"38",38,18.3838383838384,5.99422443214627,505.050505050505,"1"
"39",39,18.3838383838384,6.00492084405412,565.656565656566,"1"
"40",40,18.3838383838384,6.0185079446206,636.363636363636,"1"
"41",41,18.3838383838384,6.01158361427925,707.070707070707,"1"
"42",42,18.3838383838384,6.01010539899042,767.676767676768,"1"
"43",43,18.3838383838384,5.98762177795704,838.383838383838,"1"
"44",44,18.3838383838384,5.9938969293888,909.090909090909,"1"
"45",45,18.3838383838384,6.03741901106245,969.69696969697,"1"
"46",46,17.6767676767677,5.97348837482863,30.3030303030303,"1"
"47",47,17.6767676767677,5.99910695844514,101.010101010101,"1"
"48",48,17.6767676767677,6.0556037580624,161.616161616162,"1"
"49",49,17.6767676767677,6.0306776048945,232.323232323232,"1"
"50",50,17.6767676767677,6.01532816643406,303.030303030303,"1"
"51",51,17.6767676767677,6.01205794470355,363.636363636364,"1"
"52",52,17.6767676767677,5.9765901744446,434.343434343434,"1"
"53",53,17.6767676767677,5.98045927356261,505.050505050505,"1"
"54",54,17.6767676767677,5.97596623644216,565.656565656566,"1"
"55",55,17.6767676767677,5.9915017414365,636.363636363636,"1"
"56",56,17.6767676767677,5.98452290698312,707.070707070707,"1"
